rank,molecule_chembl_id,pref_name,canonical_smiles,p_active
1,CHEMBL511142,BUPRENORPHINE,CO[C@@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,0.995
2,CHEMBL563,FLURBIPROFEN,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,0.98
3,CHEMBL1405,ESTRONE,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,0.965
4,CHEMBL1399,ANASTROZOLE,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,0.955
5,CHEMBL1444,LETROZOLE,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,0.955
6,CHEMBL1200374,EXEMESTANE,C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,0.955
7,CHEMBL154,NAPROXEN,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,0.95
8,CHEMBL982,NALMEFENE,C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,0.95
9,CHEMBL19019,NALTREXONE,O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,0.935
10,CHEMBL1201152,NALMEFENE HYDROCHLORIDE,C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5.Cl,0.935
11,CHEMBL5315055,NALMEFENE HYDROCHLORIDE DIHYDRATE,C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5.Cl.O.O,0.935
12,CHEMBL90593,PRASTERONE,C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,0.93
13,CHEMBL494753,ESTRONE SULFURIC ACID,C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CCC2=O,0.93
14,CHEMBL3099695,OSILODROSTAT,N#Cc1ccc([C@H]2CCc3cncn32)c(F)c1,0.93
15,CHEMBL895,NALBUPHINE,Oc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)N(CC2CCC2)CC[C@]314,0.925
16,CHEMBL1200980,ESTROPIPATE,C1CNCCN1.C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CCC2=O,0.925
17,CHEMBL1201149,NALTREXONE HYDROCHLORIDE,Cl.O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,0.92
18,CHEMBL435298,ESFLURBIPROFEN,C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,0.91
19,CHEMBL1201132,NALBUPHINE HYDROCHLORIDE,Cl.Oc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)N(CC2CCC2)CC[C@]314,0.91
20,CHEMBL426084,SAMIDORPHAN,NC(=O)c1ccc2c(c1O)[C@]13CCN(CC4CC4)[C@H](C2)[C@]1(O)CCC(=O)C3,0.905
21,CHEMBL3989754,FLURBIPROFEN SODIUM,CC(C(=O)[O-])c1ccc(-c2ccccc2)c(F)c1.O.O.[Na+],0.905
22,CHEMBL386630,TESTOSTERONE,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,0.9
23,CHEMBL4596392,CRAVACITINIB,CNC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,0.9
24,CHEMBL193482,ESTRIOL,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O,0.89
25,CHEMBL1627367,FLUOROESTRADIOL,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](F)[C@@H]2O,0.89
26,CHEMBL4594261,FLUOROESTRADIOL F-18,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H]([18F])[C@@H]2O,0.89
27,CHEMBL717,MEDROXYPROGESTERONE ACETATE,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,0.885
28,CHEMBL24828,VANDETANIB,COc1cc2/c(=N/c3ccc(Br)cc3F)nc[nH]c2cc1OCC1CCN(C)CC1,0.88
29,CHEMBL2105759,BARICITINIB,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,0.88
30,CHEMBL4435170,DEUCRAVACITINIB,[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,0.88
31,CHEMBL1170,TESTOSTERONE PROPIONATE,CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,0.875
32,CHEMBL1165342,VINCAMINE,CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,0.875
33,CHEMBL1615438,LEVOCABASTINE,C[C@@H]1CN([C@H]2CC[C@](C#N)(c3ccc(F)cc3)CC2)CC[C@]1(C(=O)O)c1ccccc1,0.875
34,CHEMBL11662,OZAGREL,O=C(O)/C=C/c1ccc(Cn2ccnc2)cc1,0.87
35,CHEMBL106,FLUCONAZOLE,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,0.87
36,CHEMBL33986,BUTORPHANOL,Oc1ccc2c(c1)[C@@]13CCCC[C@@]1(O)[C@@H](C2)N(CC1CCC1)CC3,0.87
37,CHEMBL3707393,OSILODROSTAT PHOSPHATE,N#Cc1ccc([C@H]2CCc3cncn32)c(F)c1.O=P(O)(O)O,0.87
38,CHEMBL15023,TRIFLUPERIDOL,O=C(CCCN1CCC(O)(c2cccc(C(F)(F)F)c2)CC1)c1ccc(F)cc1,0.865
39,CHEMBL1230314,ESTETROL ANHYDROUS,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1[C@@H](O)[C@@H](O)[C@@H]2O,0.865
40,CHEMBL6068423,ESTETROL,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1[C@@H](O)[C@@H](O)[C@@H]2O.O,0.865
41,CHEMBL409,BICALUTAMIDE,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,0.861
42,CHEMBL691,ETHINYL ESTRADIOL,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,0.86
43,CHEMBL1278,NARATRIPTAN,CNS(=O)(=O)CCc1ccc2[nH]cc(C3CCN(C)CC3)c2c1,0.86
44,CHEMBL219916,DOMPERIDONE,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,0.86
45,CHEMBL1508,ESCITALOPRAM,CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,0.86
46,CHEMBL1201151,MESTRANOL,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,0.86
47,CHEMBL3989677,HYDROCODONE BITARTRATE,COc1ccc2c3c1O[C@H]1C(=O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314.O.O.O=C(O)C(O)C(O)C(=O)O,0.86
48,CHEMBL94,PHYSOSTIGMINE,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,0.855
49,CHEMBL135,ESTRADIOL,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,0.855
50,CHEMBL1005,REMIFENTANIL,CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCC(=O)OC)CC1,0.855
